hid;bez;lat;lng;coordinate
10001;S Adlershof (Berlin);52.435.102.000.000;13.540.553.000.000;01010000004C361E6CB1374A406682E15CC3142B40
10002;S Ahrensfelde Bhf (Berlin);52.571.564.000.000;13.566.118.000.000;010100000015C9570229494A40965AEF37DA212B40
10003;S Alt-Reinickendorf (Berlin);52.577.969.000.000;13.349.747.000.000;0101000000098D60E3FA494A408CBFED0912B32A40
10004;S Altglienicke (Berlin);52.407.791.000.000;13.559.602.000.000;0101000000344DD87E32344A40698D4127841E2B40
10005;S Anhalter Bahnhof (Berlin);52.504.538.000.000;13.382.077.000.000;01010000006CCB80B394404A408B1BB7989FC32A40
10006;S Attilastr. (Berlin);52.447.298.000.000;13.361.177.000.000;01010000007AC8940F41394A4081221631ECB82A40
10007;S Baumschulenweg (Berlin);52.467.581.000.000;13.489.505.000.000;0101000000919DB7B1D93B4A40FB743C66A0FA2A40
10008;S Bellevue (Berlin);52.519.951.000.000;13.347.098.000.000;0101000000E1421EC18D424A4097033DD4B6B12A40
10009;S Betriebsbahnhof Rummelsburg (Berlin);52.493.957.000.000;13.497.509.000.000;0101000000AD50A4FB393F4A406CEEE87FB9FE2A40
10010;S Betriebsbahnhof Schöneweide (Berlin);52.446.695.000.000;13.524.028.000.000;0101000000B324404D2D394A406760E4654D0C2B40
10011;S Beusselstr. (Berlin);52.534.314.000.000;13.328.703.000.000;0101000000C1E5B16664444A40B63176C24BA82A40
10012;S Biesdorf (Berlin);52.513.059.000.000;13.555.035.000.000;010100000090F5D4EAAB414A404E452A8C2D1C2B40
10013;S Blankenburg (Berlin);52.591.069.000.000;13.442.972.000.000;0101000000F7562426A84B4A406116DA39CDE22A40
10014;S Bornholmer Str. (Berlin);52.554.763.000.000;13.397.841.000.000;0101000000F303577902474A401004C8D0B1CB2A40
10015;S Botanischer Garten (Berlin);52.447.552.000.000;13.306.041.000.000;010100000034A1496249394A406478EC67B19C2A40
10016;S Buch (Berlin);52.636.614.000.000;13.492.452.000.000;01010000007F164B917C514A4018B325AB22FC2A40
10017;S Buckower Chaussee (Berlin);52.410.919.000.000;13.382.689.000.000;01010000000B2769FE98344A40F01307D0EFC32A40
10018;S Charlottenburg Bhf (Berlin);52.504.805.000.000;13.303.843.000.000;0101000000BBED42739D404A40B03C484F919B2A40
10019;S Charlottenburg/Gervinusstr. (Berlin);52.503.992.000.000;13.304.063.000.000;01010000000AB952CF82404A40E8D84125AE9B2A40
10020;S Eichborndamm (Berlin);52.577.545.000.000;13.315.583.000.000;0101000000F27B9BFEEC494A40DE58501894A12A40
10021;S Feuerbachstr. (Berlin);52.463.578.000.000;13.332.412.000.000;010100000092921E86563B4A408D98D9E731AA2A40
10022;S Flughafen Berlin-Schönefeld Bhf;52.390.792.000.000;13.513.522.000.000;0101000000EBC4E57805324A40938D075BEC062B40
10023;S Friedenau (Berlin);52.470.002.000.000;13.340.598.000.000;0101000000FD868906293C4A40802A6EDC62AE2A40
